ธนาคารแห่งประเทศไทย EC_EI_027 : เครื่องชี้เศรษฐกิจมหภาคของไทย 1/ ปรับปรุงล่าสุด : 30 ก.ย. 2567 14:30 วันที่เรียกข้อมูล : 30 ก.ย. 2567 20:19 ,Unnamed: 1,2522 ,2523 ,2524 ,2525 ,2526 ,2527 ,2528 ,2529 ,2530 ,2531 ,2532 ,2533 ,2534 ,2535 ,2536 ,2537 ,2538 ,2539 ,2540 ,2541 ,2542 ,2543 ,2544 ,2545 ,2546 ,2547 ,2548 ,2549 ,2550 ,2551 ,2552 ,2553 ,2554 ,2555 ,2556 ,2557 ,2558 ,2559 ,2560 ,2561 r,2562 r,2563 r,2564 r,2565 p,2566 p,2567 p
23,   4.4 ดุลบัญชีเดินสะพัด (พันล้านดอลลาร์ สรอ.),-2.1,-2.1,-2.6,-1.0,-2.9,-2.1,-1.5,0.3,-0.3,-1.5,-2.4,-7.1,-7.4,-6.1,-6.1,-7.8,-13.2,-14.3,-3.1,14.3,12.5,9.3,5.1,4.7,4.8,2.8,-7.6,2.3,15.6,0.9,22.2,11.5,9.4,-4.9,-8.8,11.6,27.8,43.4,44.0,28.5,38.3,20.9,-10.7,-17.2,7.4,....
24,      (%ของผลิตภัณฑ์รวม),-7.6,-6.4,-7.4,-2.8,-7.2,-5.0,-3.9,0.7,-0.6,-2.4,-3.3,-8.3,-7.5,-5.5,-4.9,-5.4,-7.9,-7.9,-2.0,12.7,10.2,9.2,7.0,6.8,7.3,6.2,-4.0,1.0,5.9,0.3,7.9,3.3,2.6,-1.2,-2.0,2.9,6.9,10.5,9.6,5.6,7.0,4.2,-2.1,-3.5,1.4,....
25,   4.5 เงินทุนเคลื่อนย้ายสุทธิ (พันล้านดอลลาร์ สรอ.),1.6,2.5,2.5,1.7,1.5,2.5,1.9,-0.4,1.1,3.7,5.7,9.7,11.3,8.1,10.5,12.2,21.9,19.5,-4.3,-9.8,-7.9,-10.3,-3.4,-1.8,-4.7,3.6,7.9,7.4,-0.2,17.3,1.4,23.6,-8.3,12.8,-2.5,-16.0,-16.8,-20.2,-10.5,-12.3,-16.5,-15.1,-7.0,6.7,-11.9,....
26,      4.5.1 ธนาคารกลาง,,,,,,,,,,,,,,,,,,,1.7,3.9,4.0,-0.2,-0.3,4.0,2.6,3.0,0.5,0.4,-0.9,0.3,1.5,2.7,-0.1,1.0,-4.6,-3.0,-1.4,1.1,3.1,-1.7,-1.3,-1.4,5.7,0.0,-1.5,....
27,      4.5.2 รัฐบาล,,,,,,,,,,,,,,,,,,,,,,,,,,,(0.90),(0.80),(2.20),(0.30), 0.50 , 3.60 , 3.40 , 6.50 , 4.60 , 1.40 ,(1.70), 1.00 , 2.20 , 3.70 ,(2.40),(7.70), 1.50 ,(1.10), 4.00 ,....
28,      4.5.3 สถาบันการเงินที่รับฝากเงิน (นอกจากธนาคารกลาง)  4/,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.10 ,(9.10),(1.70), 11.20 , 9.20 , 8.20 ,(8.20), 16.40 , 3.20 ,(5.50),(12.80),(0.70), 4.20 ,(5.90),(2.60),(2.10), 3.70 ,(15.90),(0.40),....
29,      4.5.4 ภาคอื่น ๆ,,,,,,,,,,,,,,,,,,,,,,,,,,, 8.30 , 16.80 , 4.70 , 6.10 ,(9.80), 9.00 ,(3.40),(11.10),(5.70),(9.00),(0.90),(21.50),(20.00),(8.50),(10.30),(3.90),(18.00), 23.60 ,(13.90),....
30,   4.6 ดุลการชำระเงิน (พันล้านดอลลาร์ สรอ.),-0.4,0.3,0.1,0.1,-0.8,0.4,0.5,0.4,0.9,2.5,4.0,3.8,4.2,3.0,3.9,4.2,7.2,2.2,-10.6,1.7,4.6,-1.6,1.3,4.2,0.1,5.7,5.4,12.7,17.1,24.7,24.1,31.3,1.2,5.3,-5.0,-1.2,5.9,12.8,26.0,7.3,13.6,18.4,-7.1,-10.2,2.6,....
31,   4.7 เงินสำรองทางการ (พันล้านดอลลาร์ สรอ.),3.1,3.1,2.8,2.7,2.6,2.7,3.0,3.8,5.2,7.1,10.5,14.3,18.4,21.2,25.4,30.3,37.0,38.7,27.0,29.5,34.8,32.7,33.0,38.9,42.1,49.8,52.1,67.0,87.5,111.0,138.4,172.1,175.1,181.6,167.3,157.1,156.5,171.9,202.6,205.6,224.3,258.1,246.0,216.6,224.5,....
32,   4.8 ภาระเงินตราต่างประเทศล่วงหน้า (พันล้านดอลลาร์ สรอ.),,,,,,,,,,,,,,,,,,,18.0,6.6,4.8,2.1,2.1,0.5,-5.2,-4.6,-3.8,-7.0,-19.1,-7.0,-15.7,-19.6,-31.3,-24.2,-23.0,-23.1,-11.7,-25.8,-36.7,-33.7,-34.7,-28.3,-33.2,-29.2,-30.1,....
